nr	PrisPerLiter	fyllighet	stravhet	fruktsyra	Namn	desc	Forpackning
7249201	Escada	118.67	7	6	9	Mycket fruktig smak med liten sötma och fatkaraktär, inslag av blåbär, inslag av björnbär, inslag av viol, inslag av mjölkchoklad, inslag av peppar	Flaska
642008	Apothic Red	93.00	8	6	9	Generöst fruktig smak med fatkaraktär och viss sötma, inslag av plommon, inslag av vanilj, inslag av blåbär, inslag av mjölkchoklad	Box
7496001	Barbera del Monferrato	145.33	8	8	10	Kryddig, fruktig smak med fatkaraktär, inslag av mörka körsbär, inslag av örter, inslag av lavendel, inslag av björnbär, inslag av choklad	Flaska
306501	Château La Bourrée	126.67	10	9	9	Fruktig smak med tydlig rostad fatkaraktär, inslag av plommon, inslag av kakao, inslag av svarta vinbär, inslag av ceder, inslag av blåbär, inslag av kaffe, inslag av vanilj	Flaska
7599801	Cigarra Gran Passo	118.67	9	9	9	Mycket fruktig smak med fatkaraktär, inslag av svarta vinbär, inslag av björnbär, inslag av plommon, inslag av kryddpeppar, inslag av vanilj	Flaska
7570701	Castelmare	225.33	10	9	9	Kryddig, nyanserad smak med inslag av mörka körsbär, inslag av choklad, inslag av russin, inslag av vanilj, inslag av kryddnejlika	Flaska
7642001	Barolo	252.00	8	10	10	Kryddig, nyanserad smak med inslag av fat, inslag av torkade körsbär, inslag av choklad, inslag av rosor, inslag av nypon, inslag av lakrits, inslag av kanel	Flaska
277101	Oinoz	158.67	10	10	10	Utvecklad, kryddig smak med tydlig fatkaraktär, inslag av plommon, inslag av kakao, inslag av torkade körsbär, inslag av kaffe, inslag av tobak, inslag av vanilj	Flaska
632801	Ata Rangi	201.33	6	6	9	Kryddig, nyanserad smak med fatkaraktär, inslag av hallon, inslag av jordgubbar, inslag av sandelträ, inslag av ingefära, inslag av kanel, inslag av mynta, inslag av choklad	Flaska
641801	Jacob's Creek	132.00	10	9	9	Mycket fruktig smak med fatkaraktär, inslag av svarta vinbär, inslag av mynta, inslag av björnbär, inslag av choklad, inslag av plommon, inslag av kaffe	Flaska
7659801	Villa Valentina	118.67	7	6	9	Fruktig smak med liten sötma, inslag av fat, inslag av körsbär, inslag av lakrits, inslag av vanilj	Flaska
274002	Amarone della Valpolicella Classico	253.33	9	9	9	Kryddig, utvecklad smak med fatkaraktär, inslag av russin, inslag av plommon, inslag av kakao, inslag av pinjenötter, inslag av vanilj	Flaska
252101	Eco Rojo	105.33	7	7	10	Fruktig smak med inslag av björnbär, inslag av mörka körsbär, inslag av skogshallon och  färska örter.	Flaska
